Date,X,Y
01-Feb-21,48600.61,49797.72
02-Feb-21,49797.72,50255.75
03-Feb-21,50255.75,50614.29
04-Feb-21,50614.29,50731.63
05-Feb-21,50731.63,51348.77
08-Feb-21,51348.77,51329.08
09-Feb-21,51329.08,51309.39
10-Feb-21,51309.39,51531.52
11-Feb-21,51531.52,51544.3
12-Feb-21,51544.30,52154.13
15-Feb-21,52154.13,52104.17
16-Feb-21,52104.17,51703.83
17-Feb-21,51703.83,51324.69
18-Feb-21,51324.69,50889.76
19-Feb-21,50889.76,49744.32
22-Feb-21,49744.32,49751.41
23-Feb-21,49751.41,50781.69
24-Feb-21,50781.69,51039.31
25-Feb-21,51039.31,49099.99
26-Feb-21,49099.99,49849.84
